,ID1,response,text
749,195613408043876352,positive,giuliainnocenzi pressat abituati cialtroni class politica innocenzi fatto bene grillo detto palco
751,134735829418520577,neutral,riotta secondo me bini va governo monti
752,158936435917996032,negative,colpo stato sobrio mario monti http t co mmsglgnp via youtubech skifezza
753,161733440767655937,negative,governo monti cerca soluzion diplomatico italiano potr partecipar rock concert nazisti purch sobri
754,136543557514313728,positive,governo monti domani quirinal sereno paes super difficolt redazion fatto quotidiano fatto quotidiano
756,395572235802804224,positive,commuovendo guardar how met your mother
757,393383734344695808,neutral,oltr occhiali vista lenti personalizz sconti fino garanzia soddisfatti rimborsati http t co ejac g yo
758,145846990872383488,neutral,governo monti cetto qualunqu previsto http t co ilajgzqd
759,392041529839058945,positive,wow attiliofontain risposto messaggio
760,190327565033013248,positive,zaynmalik andato fare surf eh male testolina quell alcool boh x x
761,137046146202869761,positive,piovono rane immaginazion dice dario franceschni twitter governo monti difficil immaginar meglio http t co eurwvmn
763,147604594032254976,neutral,dopo mese guida governo mario monti rischia perder voti http t co igphk rw via fattoquotidiano
764,393351823269978112,negative,flawshar esser interrogata civilt ingles posso esser interrogata fisica posso esser interrogata figo eh
765,148844654790578176,negative,question frequenz tv governo monti titubant sento puzza ricatto tgla
766,393186849768079360,neutral,domani roma civati lancer campagna congressual invita teatro vittoria stream http t co wotuwwzgmf
767,135638259572289536,positive,caro mario monti informazion internet importanti comunqu buon lavoro http t co zgdqamxc april maipiu schiavi
768,164645477399277568,neutral,nonostant scioperi sale punti fiducia governo monti http cgi bin blockopt cgi ws session
769,193305203611672577,negative,dopo baggian grillo annuncio partitodellanazion pdl poteva far mancar puttanatadellasettimana
771,163170219525804033,negative,governo monti arrogant banch massonico popolo punir presto solo inizio rivoluzion
772,134341884591083521,negative,secondo me governo monti mettono pure bini smaghi co sarkozi contento poi basta pero
773,137205702878965760,neutral,governo monti ministri archivio radio radical andrea riccardi ministro cooperazion internazional http t co zomji
774,152398824147648513,neutral,cosa pensi governo monti boh
776,150533351890108417,negative,secondo antipatica mario monti sar mai divertito vita
777,193051563479146496,negative,piazzapulita comizio grillo conquista ex feudo leghista bossi grillo solo comici rider
778,147668441405472768,negative,governo monti arriv fine legislatura bossi matti pulpito infatti creder esist padania
779,395475472852611072,neutral,cosa felicit http t co w v qu f
780,391832840444579840,neutral,figlio ufficialment iniziato periodo perch gi intuendo spesso rispost rispondono
781,191484168302104576,negative,mariannav appunto spariti nonostanyt riotta coinvolti mah
782,142999319144960000,negative,n degirolamo vuol paghi famigli semplici pulit pront crisi governo monti
783,191172565618802689,negative,grillo ritacrocifoglio teme insicuro propri ide politica fort dovrebb aver paura comici povera italia
785,160821154033057792,negative,misur reazionari governo bbc berlusconi bersani casini mario monti http t co jjcfwvb
786,392018589710315520,positive,justinlimagdr sorrid ribacia annusa rose oddio profumano
788,134550430096179200,neutral,mario monti http t co pbn fo
789,137087234473078785,negative,nessuno ministri governo monti sud italia lega nn voter fiducia soncos
790,151440870497992705,neutral,cdm governo monti discut liberalizzazioni crescita speriamo primi provvedimenti rapidi senza ostacoli
792,393238561505284097,negative,poi chied perch mondo va puttan http t co ublmjboza fb
796,145612665270710272,neutral,lune sciopero general mario monti convoca sindacati http t co wavxi vn
797,186435919711186945,positive,shesafeandsound heey bella ragazza sai puo piacer icon iuubhbhjb do bel spero vada bene
798,193772437962375170,neutral,lucateles grillo andrebb messo prova detto riuscira
799,140088046807810048,negative,controlla video italiani esult mario monti ennesimo burattino http t co ltqupof via youtub
800,391989934015647744,neutral,sampdoria sampdoria rossi iniezion autostima http t co jbtmvqxvdc calcio sampdoria
801,192314885256912897,neutral,dopo blocco legg farsa rimborsi elettorali grillo viaggia verso nessun error d
802,195630581277671424,neutral,qualcuno dica mussolini benetazzo economista riferimento grillo serviziopubblico
803,143355688347906048,neutral,manovra monti sacrifici nessuno deve esser soddisfatto manovra mario monti sacrifici bari http t co nrrkxp v
804,144340160283295745,neutral,manovra monti bacchetta vespa chied sacrifici italiani mario monti porta porta bruno vespa http t co isbbybzk
805,192529761858355200,negative,caro dalema unico film gi visto sancisc cretino senza grillo http t co xd j eu
806,137234774510149633,negative,scrittorincitta nesi governo monti deve pensar problema italiano semplic scontro mass finanziari
807,393386624975126529,positive,cosa imparato libri risposta luthemonkey importanza person volontari mmpunibo lettori
808,144699629970276352,neutral,governo monti laicita istituzioni http t co cpw lye
809,125513454315507712,negative,fals illusioni sgradevoli realt editorial mario monti corrier sera http t co jpxx jm rassegna stampa
810,140328625688948736,negative,italia recession sondaggi consenso verso governo monti sar messo dura prova http t co tm xbkh
813,147269448708001793,negative,cambiano attori pi sobri copion stesso governo monti far passar italiani voglia europa
814,135713726631383041,positive,monti festeggiato strade roma visto splendida giornata roma mario monti lasciato http t co gdvaqc f
815,134563814925549568,negative,pietro dice no governo monti sembra gi riveder ulivo simpatica caciara idvstaff fullmonti
816,136949017635590145,negative,nemmeno banchier cuccia uscito co tanto scoperto x occupar massim carich stato governo monti ministri
817,190163175205908480,neutral,guzzanti grillo solo differenza medium internet cara vecchia tv traducono maniera ugual tribuna
818,393138132520304640,positive,citazioni pt mani combaciano state creat solo me
819,136772978116542465,negative,ornaghi cancellieri severino governo monti preannunciato studenti temi maturit
820,137109907844513793,negative,rass stampa http t co oy csjd citofonareadinolfi capisc pi giornali camer fragilit governo monti
821,391997183157075968,positive,tisana calda
822,154148803140796416,negative,mario monti potuto trasformar palazzo bordello invec limitato ritruccar batton affollano
823,194093947570757634,neutral,condividet elepa openpa grillo palermo luogo ancora sa presto aggiornamenti presenti http t co lxdatgob
824,156501097467490305,neutral,governo monti vuol rappresentar vero cambio passo malinconico deve dimetter
825,137791736792621056,negative,ok odio x b solo penso ide governo monti altro far affondar paes
826,143418891434070016,positive,sento vicino governo monti dopo sorrisi finto rassicuranti governo precedent mill volt lacrim sincer elsa fornero
827,161181277138071552,positive,sosteniamo governo monti sosteniamo italia eziomauro bellissimo
829,135797953670561792,positive,pd d accordo governo monti perch saprebb governar italia peggio toccher esser scoperti
830,134535769300807680,neutral,sbartezzaghi comedir anagr italia affida mario monti mon torami
831,134749228848250881,neutral,pare mario monti escogitato scie chimich settembr serviziopubblico serv pubblico sapevatelo
832,145653380931530752,negative,trovato ispirator ricett governo monti bisogna prender denaro trova presso poveri http t co sh bmin
833,140161289828827136,neutral,attenzion governo monti vuol tassar carta igienica agenzia entrat applich sovrattassa mandi cagar qualcuno
834,134948453947158528,positive,anagrammando mario monti rimontiamo spread borsa rifiata mal gola migliora
835,160702167135690752,negative,rifondazion comunista lotta governo monti http t co mrj
837,147622810376880128,neutral,milano dieci bust indirizz premier mario monti silvio berlusconi alcuni direttori quotidiani http t co sytkecz
838,188218058135961600,neutral,cioona ok grazi mill te do dopo foto
839,134626571637096448,positive,europa no eurobanca no mario monti nomonti masechi mchicco mara carfagna matteoprugnoli paternost mim
840,193207255376732161,negative,demagoghi grillo audienc perch dicono cose difficil informarsi grillo pigliando culo
841,393307861587353600,neutral,colori blu celest creano dipendenza infatti fb blu twitter celest libro matematica blu noto sintomi
842,188238422190735362,neutral,lddio venerd santo dobbiamo fare
844,134604963061039105,negative,mesi protestiamo chiediamo mari monti mario monti capo governo elezioni subito
845,150542635126366208,negative,storac sarcastico spread bravi pd pdl roma novembr giura governo monti spread t http t co aai vfzw
846,134499763033870336,neutral,mario monti http t co bzewchzz
847,136109253743218688,negative,cisl sosterr pien mani governo monti adesso paura davvero oramonti
848,136520526062559232,positive,governo monti fiducia convinta solidit istituzioni http t co pdx f
850,192685975485423616,positive,grillo tt so bene preferirei veder m stour andiamo avanti
851,149168669472198656,positive,fini governo monti fallimento politica politica ansa it cont http t co avtezhkt
852,162439590496567296,neutral,agricoltura governo monti incentiva assunzioni extracomunitari http t co jlypojwb
854,194114010499653632,negative,beh certo tener cellular bar tasca vicino parti intim salver tumor udin cell free http t co bnq lj
857,135681690529046528,negative,governo monti toccher legg elettoral sento puzza pentapartito doposilvio
859,393492370966478848,positive,cataniaaa ore firmacopi sn felicissima grazieeee amorepuroinstor notteee
860,125642756147265536,negative,sgradevoli realt berlusconi dovrebb rendersi personalment conto http t co g u if n mario monti usa mezzi termini
862,193219176553394177,negative,bene napoli splend sole peccato solo giornata inizia casa calderoli gaff fornero urla grillo
863,186600269784690688,neutral,smart fortwo kw cabrio puls km http t co zushkszc vendita auto roma
864,137067692829065216,neutral,http t co qctscukd governo mario monti salvar belpaes
866,134552413788061696,positive,news berlusconi mario monti scelta ineludibil pdl spaccato appoggio governo tecnico http t co cmuvd
867,192332524645650432,negative,grillo fa comizi cassett frutta mentr alcun pdl senza cassetta solo banan ballar italialand
869,147336530959142913,negative,via uscir crisi bce senso unico manovra varata governo monti sembra andar contromano http t co dsdeqja
870,150541272296329216,neutral,serviva monti italia mario monti tass spread italia giuliano zulin liberoquotidiano it http t co m bysvx via addthi
873,193632384577581057,positive,mangialibri chileggeconsiglia espresso preferenz cosa vuol pi d
874,393302794603884544,positive,incredibil storia leon christian sottotitoli italiano emozionarsi po http t co ekcbvhb is
875,156842410989715457,positive,pi felic amico mario monti governar italia berlusconi schulz ballar
876,137146175819223041,positive,vero ludik grand professor monti aula senato dovet fare scelta ascolt applaudit
877,391936439359111168,positive,photo sechiudogliocchinoncisei com sempr piu bello http t co zux wvsrpm
878,135492250615549952,negative,basta puttan pietro bersani destra sinistra governo monti tecnico sempr politici imbelli mangioni amici
881,194969330562240513,neutral,tempo http t co jzte qne
883,134571873047560192,negative,inquietanti sponsor mario monti http t co kpct kji
884,152375042779512832,positive,quando sento parlar mario monti so perch sento buon mani
885,391804044052033537,negative,quel momento leggi pagina libro rendi conto aver capito nient
886,393417730109341696,neutral,bennypunch ciao spazio spazio spazio
887,191936394623598593,negative,d alema grillo civitavecchia definitiva mix primo bossi gabibbo governato italia ultimi anni
888,136802227867222016,positive,superficialment governo monti piac grandi menti nessun dement aspettiamo dare giudizi monti governo ciaoberlusca
890,391971463911440384,negative,cazzat escono parlamento negoziabili borsa risolto problema debito pubblico
891,396425001340895232,positive,onor maurizio berardinucci onor corpo nazional vigili fuoco http t co sbajiiw bn
892,391878271438045185,negative,pi bipolaristi italiani bipolari
896,193097617406820353,positive,m s stata unica forza politica rifiutato rimborsi elettorali dimostra onest serviziopubblico grillo piazzapulita
897,196936213431721984,positive,dia mundial jazz amor chet baker http t co rug lwit
898,163171049003954176,neutral,perch invec parlar twitterblackout parliamo introduzion governo monti servizi cittadini via web riforma
900,196273940769931265,positive,buongiorno benvenuta me twitter
901,191504498055839746,negative,grillo aumenti potenziali elettori dimostrazion qualunquismo pancia cresc italia senza storia avr futuro
903,134532722600321024,neutral,mario monti lettera premier corrier sera http t co we lq kc via corriereit
904,395667108992139264,negative,hereformyidolss continui sar costretto darti oscar
905,145419419101827072,neutral,governo monti disabilita roma manifestazion scuola http t co mozx mu http t co h oaqcya
906,149859104142262272,positive,contento orgoglioso governo monti
907,163991303602962432,negative,scilipoti stanco governo monti va brasil http t co freqhahm
908,393483173788942336,negative,oh pall simona detto tutt sappiamo benissimo detto grandissima cazzata sciao bele offlin
911,196986116228907009,negative,xinspirahul gent deve x forza offender insultar no nn contenta
913,134498494504382464,neutral,mario monti dar vita nuovo governo http t co wf egtl
914,134596417137287169,neutral,governo monti s pd fini lega idv opposizion sky it http t co jaaqwivia infoitinterno
915,136922394551001088,negative,mario monti gi fatto miracolo indignati sapienza alleati sallusti nellla denuncia complotto tecno massonico
916,392016629963309057,positive,collezionato monet d oro pu prendern pi http t co uv tliclss android androidgam gameinsight
917,190561884288720896,positive,ascolto ancora grillo poi nanna buonanott
918,156116688792854530,positive,piu va avanti piu governo monti piac
919,151712412368781312,neutral,popoloviola figlio mario monti giovanni stato licenziato senza giusta causa parmalat potrebb esser util art
920,193078224396369920,negative,marcofior bepp grillo m s democrazia monti sinistra ahahah bella cosa intendi demo
921,395654505452552192,positive,perfectjdol oddio ioooooo
922,190050181482430465,positive,sent diverso miglior superior dico mondo paes
924,191525389582073856,neutral,tweet includet joejisstrongerthaninsult jboifmorefollow pi tardi retweetteremo
925,152094642740006912,neutral,operazion trasparenza promessa governo monti ancora carta http t co gpcyn via fattoquotidiano alemadron
929,147024361302405120,negative,nuovo post blog governo monti pu mandar mont http t co viuanqg
930,146598939209105408,neutral,governo monti tass taxi liberalizzazioni
931,162935231312166913,positive,quasi contento scarsa agendadigital annunciata oggi governo monti appar ancora grado governarla inutil insister
933,145459045271207936,negative,ballo musica art sport arredo manovra finanziaria governo monti http t co tgwzfzbb
934,161062577055608833,positive,risultato sicurament ottenuto governo monti stato aver insabbiato costi politica battag evasion
935,396579806047133696,positive,persa senza sorriso
937,143408537404583936,negative,tagli politici governo monti sparati
938,193077328765665282,neutral,movimento stell pi vicino gent perch fatto gent oggi paura grillo realt paura gent
939,146631909219381248,negative,altro prodigio governo monti imposta bollo conti correnti euro tassa conti correnti manovra monti tass
940,154910074035384321,negative,certo professor monti poteva dare mano mogli cucina cotechinoelenticchi
941,146573584402354176,negative,manovra governo monti morsa lobbi paes privilegi toccano povera gent paga fb
942,163402654276517888,positive,perlomeno governo monti mandiamo giro gent parla ingles dopo zapp fini dalema sembra poco
943,393306872197165056,neutral,inbankmobi salv nessuna novit ancora correntisti banca bologna grazi
945,395509380801916928,negative,alex isaia eh salernitani campioni lamentarsi
946,162247273089212417,negative,no liberalizzazioni selvagg governo monti http t co upqbvmxc umbria sel politica
948,137281823137988609,neutral,approfondimenti governo monti incassa fiducia senato http t co ebjzzl w
949,148832250212003840,neutral,prima italia pd governo monti domani sera ent fiera civitanova http t co nrxqhlz
950,191302972402176000,positive,nalioffici canzon fantastica riesci trasmettermi molto ancora tanto dire vedo ora ascoltar ogni parola
952,137098750261870592,neutral,governo monti nemico popolo marino badial alternativa politica http t co noseb
953,137433020029353984,positive,governo monti senato via libera fiducia s schifani buon lavoro interess paes http t co xuqzvuvc
954,145947095193493504,positive,innovazion indifferent ovvero perch governo monti parla giustament innovazion http t co nhnvvf
955,395572234263093248,positive,flywithvilu jorgeytini bene xd
956,393346128793862144,neutral,meno ora feltrinelli napoli ammostr emiss oga shpaccammtutteco
958,193073110830956544,positive,piac grillo schifato politica attual consiglio votar movimento stell grillo candidato informatevi bene
959,161775390258507776,neutral,cgil cisl uil ugl incontrano stampa termin vertic governo monti parti sociali http t co pixzj f
960,137128241898078208,negative,bologna lazio governo monti agenda sanit collasso sistema http t co rbpgro hithotit
961,134625458254905344,positive,europa no eurobanca no mario monti nomonti angealfa azioneuni alepontecorvo cinelliandreani chiaracolosimo
963,134757330016403456,neutral,roma fini governo monti solo ok berlusconi http t co yuvujq m
967,190409593480949761,positive,grand sposer gari oldman sar vecchio sar comunqu fregno pazzesco
969,135405144434163712,neutral,quindi oggi dimett b lune governo monti allora domenica sar giorno anarchico
972,396706143076372480,negative,persino paperopoli politici onesti cazzo
973,134631443753213952,positive,europa no eurobanca no mario monti nomonti carolalatini
975,164755382424711168,neutral,partecipa unir sinistra governo monti partiamo umbria oggi http t co dzgqit
976,137051040888532992,neutral,governo monti ritratti paola severino http t co wgsjpzpl
977,140799152727670784,positive,pi bella pagina satira governo monti pchigi
978,137089851693604864,positive,cardin berton dichiarato governo monti bella squadra auguro buon lavoro cosa m inquieta
979,393435665280794624,negative,praticament generazion sar massa idioti tatuati croci stay strong polsi infin dietro collo
980,136479405382963200,neutral,ogni buon president consiglio ecco prime domand mario monti via lonestaritali http t co bthtemf sapevatelo
981,195995538443870208,neutral,pierpier lultimaparola condivido pieno cmq parlino pro grillo prend voti gia immagino facc talk giorno dopo
982,396726367418863616,neutral,jaymistatoo nessuno parlato te
983,393302798181617664,positive,preoccupi signor obama quando parlo bomb riferisco bruschett nduja intercettam
984,396633051327119361,positive,benedetta d capito
986,192619779973054464,negative,pannella scrive x cose tipo finalment togeth grillo question norimberga prego ditemi scherzo
987,194466043207491584,negative,carlomarulli comun noto certa vision funesta futuro stile cormac mccarthi solo grillo pu salvarci ahinoi
988,195421681374859264,positive,grillo diverso perch scend mezzo gent mai visto capopopolo salotto
989,393468287377367040,neutral,domani cambio domani
990,131669638168846336,neutral,arriva governo monti http t co tq z otn
991,191657294751211521,positive,ivanljubic grand ljubo stato verament signor giocator grazi
993,149440954946957312,neutral,dice spread premier spagnolo meglio monti mario monti mariano rajoy spagna itali http t co s zi
994,141098390590201856,negative,fog rome governo monti subisc primi attacchi mentr euro fatica trovar equilibrio http t co vlxbgwvr
995,393407158920159233,neutral,baciar mai ragazza sotto casa amor cieco padr no
996,193053355239669760,negative,grillo stasera vuol andar fare confronto tv altri preferisc farsi intervistar sembra berlusconi
997,396757797364596736,neutral,gobboveroefiero cosa successo
998,136435278998011905,neutral,http t co fomsshzg legger risposta domanda durer governo monti
999,162845197682741248,positive,economia soro re speculatori oggi promuov bravi mario draghi mario monti http t co bbnbsqvo
1001,137492135346835457,positive,magari sar impopolar vorrei molto governo monti duri pi possibil amo modi pensiero politico vecchio
1002,165048265857957888,neutral,gradimento governo monti oggi dopo monotonia postofisso sfigati sar dinamismo
1003,393443902130511872,negative,tentata rovesciarl minestra testa
1004,144321360540352512,neutral,manovra governo monti pensat http t co z fcypr lanazion pontedera
1006,136818388939972608,negative,sa rimpiangeremo bungabunga co tutta massoneria democristiana pronta riform lacrim sangu governo monti
1007,145567005670518784,neutral,governo monti lavora indicizzazioni pensioni imu http t co z gokazu
1008,395605114095824897,negative,onest brutta cosa digerir itali pd pdl voto pales voto stell via bepp grillo http t co b u ckwyt
1009,140458556968284160,positive,guardat mario monti channel qui http t co wezm nt avatar simpaticissimo premier
1010,164791396870537216,positive,meteorologia colpa governo monti openmatrix
1012,190120785229258752,neutral,spiac grillo cercava visibilit voleva esser legittimato opposizion magistratura complotto vendola
1014,193008212381937665,negative,carlomarulli grillo genial iniziato vittima comizi pagamento ora messo franchis va ancora meglio
1015,160463440639565824,neutral,tv ottoemezzo gruber mario monti masson googl masson gruber
1016,139969981147394048,neutral,frattini riform strutturali part emergenza governo monti ce dobbiamo dimenticar
1017,147075734073131008,negative,protesta disabili vergognosa manovra mario monti roma dicembr http t co krem ihh
1018,137132973316259840,neutral,pdl dica chiarament limit final governo monti sar spread itassi btp
1019,134809147479834624,positive,grandi poteri derivano grandi responsabilit illustr professor monti now save us
1020,137088397767475200,negative,legger blog governo monti spacciato http t co zawim yd
1021,145279491932028929,neutral,dieci domand mario monti http t co lbrxfi via addthi
1022,195615389797986304,neutral,smaciocchi sar insultando grillo riconquisteret fiducia gent partitiantichi almeno rilassa terapia
1023,195481933034160128,neutral,news ateneo bando elezion componenti giunta dipartimento psicologia http t co dhwbscpc
1024,195619782844887041,positive,pastichesss fa bene grillo risponder giornalai servi partiti x anni censurato x ordin scuderia
1025,154655065674743808,neutral,ue monti armonia franco tedesca basta francia germania mario monti roma armonia franco tede http t co s bcmf
1026,163975946553131009,neutral,abruzzo provinc coro governo monti ripensi http t co yvczf at
1028,393244206518788096,negative,leccaculo follow paura esser unfollowati rider
1029,393284917703872513,neutral,simo battaglino simodragon ara caporello annacalcagni lbaglivo pare mantenuto domiciliazion fiscal ita
1030,393479278832394240,neutral,ballodasola pensi tagliarl
1031,193109564093251584,neutral,grillo fa creder ancora politici possano cambiar
1032,134403213712560128,negative,vedo gent accogliendo mario monti messia chiss sar stesso quando toccher pesantement portafogli
1033,392034799730176001,neutral,chiamano kangin lungo
1034,193300852088381440,positive,ff valeyellow ducati far culo
1035,136833796954783744,neutral,due tre cose veloci ministri governo monti http t co egtyplmq via polisblog
1036,193688307375411200,neutral,fattoquotidiano grillo teatrino politica piac blog fabrizio tonello http t co hvip
1038,195593155079442433,positive,antoniaa d bho xd dicono tutt vabb bene no amen
1039,145368718023720960,neutral,governo monti cambio passo arriva web tg sky it scoopit http t co hektp tz
1041,156334078604480512,neutral,boom d ascolti president consiglio mario monti http t co mpwv np
1042,140518740612743170,positive,chedisagio misur arriveranno giorni dopo insediamento governo monti visto silenzio periodo ben sperar
1043,193067632415608832,negative,problema italia ricetta grillo compreso intanto sempr pi ammalati piazzapulita
1044,191986198493921282,positive,dalema co cominciano attaccar grillo perch grillo dimostra partiti inadeguati inutili solo altro inciucion
1045,136260155787579392,neutral,napoli pizza onor mario monti bel tocco basilico spread adnkrono cronaca http t co hz rbeel
1046,187074090241228800,negative,cert gent esagerata fa depressa perch ami amor depression ste gran cazzat
1047,153787789434028033,negative,bene ecco governo monti mett tassa botta culo http t co n h m
1050,134597046891053056,positive,news governo monti pagat ve d ciao
1051,134576398890319872,neutral,lettera mario monti berlusconi fullmonti http t co f y utux
1052,160686084592902144,positive,acquabenecomun governo monti stato costretto fare passo indietro referendum salvi ora avanti ripubblicizzazion
1053,191990496091045888,negative,vanekastronov effettivament sti cuori sti sorrisi inutili ahhhhhh
1055,193430060252921856,positive,zamparini grillo detto comico dica possa fare cose seri simpatia grillo robinson
1057,137106734895468544,neutral,governo monti cidec auspica tempi brevi misur efficaci crescita http t co auhsi ac
1058,191574952481271809,positive,kissbybiaggia u buon jhgdsjk
1059,154650201955647488,positive,inizio adorar mario monti merita stand ovat ecco risposta interrogazion calderoli http t co qnvk jf
1060,195974041927036929,neutral,grillo bocca robinson sartori dongallo crosetto
1062,393270556549971968,positive,giannicuperiopd compagno ricordi quando verr eletto ciocor biancor unici snack ammessi
1063,396617429930881024,positive,not youuu hahaha d
1064,134737200515514368,positive,caro mario monti vai sistemi p robe ricordati metter via strada senso unico nuova piscina trave
1065,144395025357344768,neutral,aria provocazion annamaria cancellieri http t co sj dmvht governo monti eattherich
1066,195594189831016448,negative,stanischannel serviziopubblico capir solo quando toccher fondo
1067,139397155503865856,neutral,mart sede via vinci pg confrontiamo governo monti evento dissesto geologico festa
1068,136770778086653952,positive,casini governo monti miracolo http t co zzrfeoqw
1069,142539716774993920,positive,monitali nov governo monti muov primi passi italia rientra figur chiav eurozona http t co gojevaz
1070,164386103846109185,neutral,manovr governo monti secondo confesercenti appuntamento domani piazza berninileggi http t co sw nx
1071,145136524223197184,neutral,mario monti rai democrazia http t co mwe kjae
1072,134004315613429760,positive,dimissioni berlusconi governo provvisorio mario monti elezioni serv
1073,151762128196468736,negative,monti fase due via malumori pdl casini atteggiamenti surreali roma premier mario monti torna http t co igezem v
1074,137482063690473472,neutral,curioso saper ici sara reintrodotta solop comuni mortali chiesa governo monti
1075,146306463130849280,negative,voluto bicicletta governo monti ora deve pedalar
1076,134601318080839680,positive,caso governo monti butto bini smaghi ministro dopo germania contenta francia monthi
1077,153540044920066048,negative,nuova sala stampa palazzo chigi by mario monti degna sala funerali cimitero verano
1078,146674897907757056,negative,mario monti schifo banchier governo senza italiano votato cazzo cazzo vuoi
1080,146666907737661440,neutral,crespi ricerch quasi finita luna miel mario monti fra ministri vincono donn http t co qfgej xv
1081,136794139089059841,negative,passera governo monti novit governo nanico passera ce n quintali
1082,135750495196299264,negative,psymon sentito dichiarazioni pd governo monti far perch qualcuno paura assumersi propri responsabilit
1083,193107532741488642,negative,tirando guardia finanza casa grillo giorni mai vediamo smett fare verginella
1084,391751598923579392,positive,linaospino
1085,134915295813967873,positive,happi speriamo svolta governo monti
1086,195912736021028864,neutral,grillo doveroso grazi vari napolitano bersani vendola alemanno libero giornal ecc ecc
1090,190196489237176320,neutral,roma udines catania lecc fiorentina palermo inter siena juve lazio
1091,164609925652299776,neutral,ipr market fiducia governo monti torna salir attesta gennaio http t co pagt gpj
1092,391827420312924160,neutral,nota agenzia ricerca operatori sicurezza lavoro turnazion massima seriet professionalit inviar http t co gjg sgla
1094,136792803312279552,positive,monti credit rate aaa sempr pi impressionato stile seriet mario monti speriamo mondo accorga
1095,165150142348017664,negative,fa schifo posto fisso meglio anni parlamento aver pension d oro vita vero signor mario monti
1096,136914282490236928,positive,governo monti difficil immaginar meglio http t co dh bgrgm
1097,136352706762776576,positive,belli giovani intraprendenti foto possibili ministri governo monti http t co rodzmpj italia occupi
1098,194348880148701185,negative,fabiocatar preso coro vergognoso razzista sent ogni domenica almeno anni fatto diventar notizia
1099,137035857336078336,neutral,governo monti ritratti corrado passera http t co tjyk
1101,143436703472951297,positive,misura lotta evasion condoni mario monti grazi
1102,396643870089707521,negative,so pi schifo cinepanettoni film zalon dubbio guardo nessuno due
1103,163429130971529217,neutral,professor monti domenica sicurament lavora lunedi dia fare recuperar quei miliardi euro evasi stato
1104,162975913296936960,positive,sar stato eletto democraticament governo monti fatto mesi italia aspetta anni
1105,136965195670093824,negative,teledurruti governo monti gi cazzo http t co cxocgtym
1106,136776507828875264,neutral,twitter lorenzo ornaghi ministro governo monti http t co gkwgugfo
1107,195751468622561280,neutral,grillo critichi napolitano critica president repubblica compet solo partiti milita bersani
1109,393351816358162432,negative,mor sti anonimi ahahahah usar morir vano qua dentro gi gent fa troppo http t co fk pgatrri
1110,134553776353853442,positive,crisi governo pi vicina ipotesi mario monti intanto maxiemendamento arriva senato maxiemenda http t co pmbwo bb
1111,162461227900088320,neutral,governo monti aumenta tass sigarett aver smesso fumar fa me evasor
1112,195945670400688129,positive,grazi alunni intervenuti http t co ukkrw rc
1113,161793331142201346,positive,pierferdinando ottimo puntualizzazion doverosa autorevol xch vien udc poco inclin tentennamenti tattici governo monti
1115,136381187387170816,positive,politica bersani incoraggiato professor monti proseguir determinazion messo termin governo
1117,156343312209555456,neutral,http t co b u governo monti vuol colpir consumi ridurr passivo bilancia commercial http t co elm sj via addthi
1118,136788210922692608,negative,nominato nuovo gorverno premier mario monti ok passera heheheheheheheheheheheh
1119,192629301986869248,positive,norimberga bellissima davvero idea populista grillo piac sbagliato concorso dobbiamo ipotecar mutand
1120,391929957930528768,neutral,capolavori madr natura nina dobrev
1121,193838004131999744,negative,lulopilato va bene
1122,188634773558800384,neutral,napoli donna muor dopo ore attesa pronto soccorso http t co xwuh
1124,134423558553219072,negative,mario monti president trilateral membro gruppobilderberg advisor goldmansach bella notizia fullmonti
1125,161477248787038208,negative,protest nord sud italia crolla protestano autotrasportatori professor monti lotta fra poveri dice
1127,136941968780574720,neutral,governo mario monti ecco ministri wire direzion andr innovazion http t co uadydpw
1128,136810270692610048,negative,adesso andr moda esser lega visto aria buonismo trasversalit intorno governo monti
1129,391877513799925760,positive,cosesulragazzochemipiac risata fa impazzir
1130,137537169207197696,positive,favor governo monti cominciamo ora
1132,134747795402919938,negative,parlano governo monti ancora nato gi morto
1133,391972737964834816,positive,toocurlyhair problema hahah comunqu amo icon aw
1134,147338588097478657,neutral,cosa pensat governo monti
1135,191949089070514178,neutral,grillo favorir centrodestra tornata amministr quintopolo
1136,161536183669760000,neutral,consigli mario monti combatter evasion fiscal http t co pyi do
1137,134564737517228032,neutral,sabato camera vota ddl sviluppo poi lunedi nuovo governo mario monti premier http t co lwtl it
1138,160292135101411328,neutral,stefano ceccanti pd foglio governo monti parentesi pd chieder convocazion congresso pu esser tab
1139,189756423155105792,neutral,dicessi dopo jc katc voglio scriver kurtastian rapidament manderest diavolo
1140,134534035077738496,neutral,ppn verso nuovo governo guida mario monti http t co klqjru
1141,395583011166879744,negative,sparo
1142,134400875954315264,negative,merkel sarkozi sorridono mario monti merkel sarkozi caprett ciao
1143,192906174054674433,negative,paolorodari liberi conto dire teologia piac altro dire fuori canoni
1144,393483174078337024,negative,chiedo ancora cosa centri ventura industria musical xf
1145,193756255632887808,neutral,bepp grillo puglia caccia strega http t co ghcgn je hithotit
1146,136943278548451329,negative,ministri governo monti giovani
1148,165470310295015425,negative,mario monti finisc perfino tempo generos cugin pompinar
1149,136818697519112192,neutral,governo monti nato ecco lista ministri nuovo premier monti ah sciolto riserva ufficializzato http t co muqi njt
1150,144748206402711552,neutral,linea renzi incalzar governo monti foglio it cerazad http t co atiollo via claudiocerasa
